[0/10][0/1272]  Loss_D: 1.8932	Loss_G: 6.2211	D(x): 0.6284	D(G(z)): 0.6694 / 0.0035
[6/10][1150/1272]	Loss_D: 0.5140	Loss_G: 3.0988	D(x): 0.8069	D(G(z)): 0.2240 / 0.0596
[6/10][1200/1272]	Loss_D: 0.3964	Loss_G: 2.8899	D(x): 0.8415	D(G(z)): 0.1786 / 0.0755
[6/10][1250/1272]	Loss_D: 0.9304	Loss_G: 1.0922	D(x): 0.4745	D(G(z)): 0.0604 / 0.3924
[7/10][0/1272]	Loss_D: 0.5174	Loss_G: 3.6321	D(x): 0.9021	D(G(z)): 0.3026 / 0.0366
[7/10][50/1272]	Loss_D: 2.3227	Loss_G: 5.4892	D(x): 0.9863	D(G(z)): 0.8535 / 0.0076
[7/10][100/1272]	Loss_D: 0.5164	Loss_G: 4.0536	D(x): 0.9277	D(G(z)): 0.3208 / 0.0233
[7/10][150/1272]	Loss_D: 0.5684	Loss_G: 2.1592	D(x): 0.6790	D(G(z)): 0.1276 / 0.1595
[7/10][200/1272]	Loss_D: 0.3911	Loss_G: 2.8083	D(x): 0.7770	D(G(z)): 0.1037 / 0.0822
[7/10][250/1272]	Loss_D: 0.5642	Loss_G: 1.7677	D(x): 0.6606	D(G(z)): 0.0871 / 0.2243
[7/10][300/1272]	Loss_D: 0.4134	Loss_G: 2.1657	D(x): 0.7636	D(G(z)): 0.1046 / 0.1443
[7/10][350/1272]	Loss_D: 0.4064	Loss_G: 3.1973	D(x): 0.8367	D(G(z)): 0.1696 / 0.0571
[7/10][400/1272]	Loss_D: 0.5162	Loss_G: 2.1231	D(x): 0.7260	D(G(z)): 0.1335 / 0.1597
[7/10][450/1272]	Loss_D: 0.7313	Loss_G: 1.9168	D(x): 0.5554	D(G(z)): 0.0420 / 0.2021
[7/10][500/1272]	Loss_D: 0.5791	Loss_G: 3.9584	D(x): 0.9376	D(G(z)): 0.3597 / 0.0285
[7/10][550/1272]	Loss_D: 0.4312	Loss_G: 3.0886	D(x): 0.8564	D(G(z)): 0.2150 / 0.0626
[7/10][600/1272]	Loss_D: 0.4913	Loss_G: 1.6036	D(x): 0.7087	D(G(z)): 0.1045 / 0.2368
[7/10][650/1272]	Loss_D: 0.5699	Loss_G: 3.5684	D(x): 0.8988	D(G(z)): 0.3324 / 0.0400
[7/10][700/1272]	Loss_D: 0.6489	Loss_G: 1.6958	D(x): 0.5926	D(G(z)): 0.0389 / 0.2315
[7/10][750/1272]	Loss_D: 0.6474	Loss_G: 1.6270	D(x): 0.6407	D(G(z)): 0.1193 / 0.2460
[7/10][800/1272]	Loss_D: 0.5839	Loss_G: 3.1168	D(x): 0.8214	D(G(z)): 0.2849 / 0.0613
[7/10][850/1272]	Loss_D: 0.5274	Loss_G: 2.8599	D(x): 0.8021	D(G(z)): 0.2293 / 0.0761
[7/10][900/1272]	Loss_D: 0.9606	Loss_G: 1.1035	D(x): 0.4780	D(G(z)): 0.0768 / 0.3996
[7/10][950/1272]	Loss_D: 0.5937	Loss_G: 2.2998	D(x): 0.7554	D(G(z)): 0.2246 / 0.1248
[7/10][1000/1272]	Loss_D: 0.4910	Loss_G: 2.0925	D(x): 0.6897	D(G(z)): 0.0655 / 0.1582
[7/10][1050/1272]	Loss_D: 1.1524	Loss_G: 4.2469	D(x): 0.9287	D(G(z)): 0.5978 / 0.0216
[7/10][1100/1272]	Loss_D: 0.5461	Loss_G: 2.6014	D(x): 0.8246	D(G(z)): 0.2635 / 0.0989
[7/10][1150/1272]	Loss_D: 0.3618	Loss_G: 3.1537	D(x): 0.9360	D(G(z)): 0.2315 / 0.0577
[7/10][1200/1272]	Loss_D: 0.4232	Loss_G: 2.5132	D(x): 0.7931	D(G(z)): 0.1512 / 0.0995
[7/10][1250/1272]	Loss_D: 0.7377	Loss_G: 1.3427	D(x): 0.5777	D(G(z)): 0.0941 / 0.3285
